,Unnamed: 0,doc_index,original_text,extraction_text,mechanism_type,scope,responsible_entity,actions_taken,contact_info,policy_reference,status_or_effectiveness
183,183,94,"KRBL has a Human Rights Policy that aims to promote human rights both at the level of the workplace (to employees, workers, suppliers, etc.) as well as the community (in and around which the company operates). All issues pertaining to human rights are dealt with by the Human Resources department of the Company. Through this policy, KRBL reaffirms its commitment towards dignified and respectful treatment of all individuals as well as eliminate discrimination in employment and involuntary forms of labour. Further, the Company provides access to an Employee Self-Service (ESS) Portal, facilitating employees to address their grievances directly to the relevant department. KRBL has adopted Vigil Mechanism (Whistle-Blower Policy), Code of Business Conduct and Ethics, Nomination, Remuneration and Board Diversity Policy, Policy on Prevention of Sexual Harassment (POSH), Corporate Social Responsibility Policy, Anti-Fraud Policy, Anti Bribery and Anti Corruption Policy and Stakeholder Engagement and Grievance Redressal Policy to ensure that business operations are carried out in a fair and ethical manner and that a human-rights oriented approach is followed throughout its business activities.",Vigil Mechanism (Whistle-Blower Policy),Whistleblower,employees,KRBL,"Ensures business operations are carried out in a fair and ethical manner and that a human-rights oriented approach is followed, allows reporting of unethical conduct",,Whistle-Blower Policy,Active
184,184,94,"KRBL has a Human Rights Policy that aims to promote human rights both at the level of the workplace (to employees, workers, suppliers, etc.) as well as the community (in and around which the company operates). All issues pertaining to human rights are dealt with by the Human Resources department of the Company. Through this policy, KRBL reaffirms its commitment towards dignified and respectful treatment of all individuals as well as eliminate discrimination in employment and involuntary forms of labour. Further, the Company provides access to an Employee Self-Service (ESS) Portal, facilitating employees to address their grievances directly to the relevant department. KRBL has adopted Vigil Mechanism (Whistle-Blower Policy), Code of Business Conduct and Ethics, Nomination, Remuneration and Board Diversity Policy, Policy on Prevention of Sexual Harassment (POSH), Corporate Social Responsibility Policy, Anti-Fraud Policy, Anti Bribery and Anti Corruption Policy and Stakeholder Engagement and Grievance Redressal Policy to ensure that business operations are carried out in a fair and ethical manner and that a human-rights oriented approach is followed throughout its business activities.",Code of Business Conduct and Ethics,Policy,employees,KRBL,Ensures business operations are carried out in a fair and ethical manner and that a human-rights oriented approach is followed,,Code of Business Conduct and Ethics,Active
185,185,94,"KRBL has a Human Rights Policy that aims to promote human rights both at the level of the workplace (to employees, workers, suppliers, etc.) as well as the community (in and around which the company operates). All issues pertaining to human rights are dealt with by the Human Resources department of the Company. Through this policy, KRBL reaffirms its commitment towards dignified and respectful treatment of all individuals as well as eliminate discrimination in employment and involuntary forms of labour. Further, the Company provides access to an Employee Self-Service (ESS) Portal, facilitating employees to address their grievances directly to the relevant department. KRBL has adopted Vigil Mechanism (Whistle-Blower Policy), Code of Business Conduct and Ethics, Nomination, Remuneration and Board Diversity Policy, Policy on Prevention of Sexual Harassment (POSH), Corporate Social Responsibility Policy, Anti-Fraud Policy, Anti Bribery and Anti Corruption Policy and Stakeholder Engagement and Grievance Redressal Policy to ensure that business operations are carried out in a fair and ethical manner and that a human-rights oriented approach is followed throughout its business activities.",Policy on Prevention of Sexual Harassment (POSH),Policy,employees,KRBL,"Prevents sexual harassment, ensures a human-rights oriented approach",,Policy on Prevention of Sexual Harassment (POSH),Active
186,186,94,"KRBL has a Human Rights Policy that aims to promote human rights both at the level of the workplace (to employees, workers, suppliers, etc.) as well as the community (in and around which the company operates). All issues pertaining to human rights are dealt with by the Human Resources department of the Company. Through this policy, KRBL reaffirms its commitment towards dignified and respectful treatment of all individuals as well as eliminate discrimination in employment and involuntary forms of labour. Further, the Company provides access to an Employee Self-Service (ESS) Portal, facilitating employees to address their grievances directly to the relevant department. KRBL has adopted Vigil Mechanism (Whistle-Blower Policy), Code of Business Conduct and Ethics, Nomination, Remuneration and Board Diversity Policy, Policy on Prevention of Sexual Harassment (POSH), Corporate Social Responsibility Policy, Anti-Fraud Policy, Anti Bribery and Anti Corruption Policy and Stakeholder Engagement and Grievance Redressal Policy to ensure that business operations are carried out in a fair and ethical manner and that a human-rights oriented approach is followed throughout its business activities.",Stakeholder Engagement and Grievance Redressal Policy,Policy,all stakeholders,KRBL,"Ensures business operations are carried out in a fair and ethical manner and that a human-rights oriented approach is followed, provides grievance redressal",,Stakeholder Engagement and Grievance Redressal Policy,Active
187,187,95,"The Company has various procedures and practices in place where employees and workers as well as external stakeholders can raise any human rights related grievance with the HR team of the company. Additionally, they have access to mechanism prescribed as part of the Whistleblower policy to raise any human rights issues or complaints. The HR/ respective stakeholder contact (after due consultation with the HR team or relevant departmental head) shall take the requisite steps/ actions to address the grievance.
The Company also has a standalone policy for Prevention of Sexual Harassment (''POSH'') of women at workplace. An internal committee in the Company oversees implementation & effectiveness of the processes to mitigate sexual harassment within the Company operations and its wider value chain","Procedures and practices for employees, workers, and external stakeholders to raise human rights related grievances",Other,"employees, workers, external stakeholders","HR team, relevant departmental head",HR/respective stakeholder contact takes requisite steps/actions to address the grievance after consultation with HR team or relevant departmental head,HR team of the company,Company procedures and practices,Active
188,188,95,"The Company has various procedures and practices in place where employees and workers as well as external stakeholders can raise any human rights related grievance with the HR team of the company. Additionally, they have access to mechanism prescribed as part of the Whistleblower policy to raise any human rights issues or complaints. The HR/ respective stakeholder contact (after due consultation with the HR team or relevant departmental head) shall take the requisite steps/ actions to address the grievance.
The Company also has a standalone policy for Prevention of Sexual Harassment (''POSH'') of women at workplace. An internal committee in the Company oversees implementation & effectiveness of the processes to mitigate sexual harassment within the Company operations and its wider value chain",Mechanism prescribed as part of the Whistleblower policy for human rights issues or complaints,Whistleblower,"employees, workers, external stakeholders","HR team, relevant departmental head",Allows raising of human rights issues or complaints; HR/respective stakeholder contact takes requisite steps/actions to address the grievance,Whistleblower policy channels,Whistleblower policy,Active
189,189,95,"The Company has various procedures and practices in place where employees and workers as well as external stakeholders can raise any human rights related grievance with the HR team of the company. Additionally, they have access to mechanism prescribed as part of the Whistleblower policy to raise any human rights issues or complaints. The HR/ respective stakeholder contact (after due consultation with the HR team or relevant departmental head) shall take the requisite steps/ actions to address the grievance.
The Company also has a standalone policy for Prevention of Sexual Harassment (''POSH'') of women at workplace. An internal committee in the Company oversees implementation & effectiveness of the processes to mitigate sexual harassment within the Company operations and its wider value chain",Policy for Prevention of Sexual Harassment (POSH) of women at workplace,Policy,"women at workplace, Company operations and its wider value chain",Internal committee,Oversees implementation and effectiveness of processes to mitigate sexual harassment,Internal committee,Prevention of Sexual Harassment (POSH) policy,Active
190,190,96,"The Internal Complaints Committee (ICC), established in accordance with the Prevention of Sexual Harassment (POSH) Act, is responsible for addressing POSH related complaints and ensuring resolution and confidentiality throughout the duration of the case. We have email as a communication channel for our employees to officially submit their grievances and concerns including human rights related issues to the HR department. It is the responsibility of the HR team to promptly address these employee-related grievances.",Internal Complaints Committee (ICC) for POSH related complaints,Committee,employees,Internal Complaints Committee (ICC),"Addressing POSH related complaints, ensuring resolution and confidentiality throughout the duration of the case",email,Prevention of Sexual Harassment (POSH) Act,Active
191,191,96,"The Internal Complaints Committee (ICC), established in accordance with the Prevention of Sexual Harassment (POSH) Act, is responsible for addressing POSH related complaints and ensuring resolution and confidentiality throughout the duration of the case. We have email as a communication channel for our employees to officially submit their grievances and concerns including human rights related issues to the HR department. It is the responsibility of the HR team to promptly address these employee-related grievances.",Email communication channel for employees to submit grievances and concerns,Other,employees,"HR department, HR team","Promptly address employee-related grievances, including human rights related issues",email,Human Rights Policy,Active
192,192,97,"The Bank recognises the valuable role that businesses can play in the long-term protection of human rights for a better future. The Bank’s support for these fundamental principles reflects in its policies and actions towards its stakeholders.
The Bank has provided an online portal, viz. i-HRIDAYO for submission of employee grievances and has put in place a Grievance Redressal Committee to examine grievances relating to discrimination and harassment. Mechanism for
redressal of sexual harassment complaints received has been put in place in line with provision of the Sexual Harassment
of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (POSH Act). The Bank has also put in place
Human Rights Policy, which is applicable to all stakeholders, including employees.",Online portal i-HRIDAYO for submission of employee grievances,Other,employees,The Bank,Submission of employee grievances,i-HRIDAYO (online portal),,
193,193,97,"The Bank recognises the valuable role that businesses can play in the long-term protection of human rights for a better future. The Bank’s support for these fundamental principles reflects in its policies and actions towards its stakeholders.
The Bank has provided an online portal, viz. i-HRIDAYO for submission of employee grievances and has put in place a Grievance Redressal Committee to examine grievances relating to discrimination and harassment. Mechanism for
redressal of sexual harassment complaints received has been put in place in line with provision of the Sexual Harassment
of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (POSH Act). The Bank has also put in place
Human Rights Policy, which is applicable to all stakeholders, including employees.",Grievance Redressal Committee to examine grievances relating to discrimination and harassment,Committee,employees,Grievance Redressal Committee,Examines grievances relating to discrimination and harassment,,,
194,194,97,"The Bank recognises the valuable role that businesses can play in the long-term protection of human rights for a better future. The Bank’s support for these fundamental principles reflects in its policies and actions towards its stakeholders.
The Bank has provided an online portal, viz. i-HRIDAYO for submission of employee grievances and has put in place a Grievance Redressal Committee to examine grievances relating to discrimination and harassment. Mechanism for
redressal of sexual harassment complaints received has been put in place in line with provision of the Sexual Harassment
of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (POSH Act). The Bank has also put in place
Human Rights Policy, which is applicable to all stakeholders, including employees.",Mechanism for redressal of sexual harassment complaints,Policy,employees,The Bank,Redressal of sexual harassment complaints,,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (POSH Act)",
195,195,97,"The Bank recognises the valuable role that businesses can play in the long-term protection of human rights for a better future. The Bank’s support for these fundamental principles reflects in its policies and actions towards its stakeholders.
The Bank has provided an online portal, viz. i-HRIDAYO for submission of employee grievances and has put in place a Grievance Redressal Committee to examine grievances relating to discrimination and harassment. Mechanism for
redressal of sexual harassment complaints received has been put in place in line with provision of the Sexual Harassment
of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (POSH Act). The Bank has also put in place
Human Rights Policy, which is applicable to all stakeholders, including employees.",Human Rights Policy,Policy,all stakeholders,The Bank,"Ensures protection of human rights, provides framework for addressing human rights issues",,Human Rights Policy,
196,196,98,"We have a robust Employee Grievance Redressal Policy, providing a transparent platform for employees to address concerns falling within the scope of our welfare policies. These include our Human Rights Policy, Diversity and Inclusion Policy, Equal Opportunity Policy, and Workplace Health and Safety Policy. Employees can easily raise grievances by either emailing at grievance.sec@iifl.com or addressing a letter to the Head of Human Resources for prompt resolution.

In line with our commitment to fostering a safe and respectful workplace, the Company maintains a zero-tolerance policy towards harassment and discrimination. Our Policy for Prevention of Sexual Harassment at Workplace, aligned with the Sexual Harassment of Women at Workplace Act, 2013, aims to provide protection and redressal for complaints of sexual harassment. Employees can report grievances related to sexual harassment by emailing at posh.sec@iifl.com, with an Internal Complaints Committee dedicated to investigation and resolution.

Furthermore, our Whistleblower Policy serves as a vigilant mechanism for stakeholders, including individual employees, to report unethical or unlawful practices. Employees are encouraged to communicate concerns regarding illegal or unethical behavior by emailing at iiflsecwhistleblower@iifl.com. In exceptional cases, direct access to the Chairman of the Audit Committee is provided to ensure the integrity of the reporting process.

To ensure widespread awareness and understanding of our policies, regular communication and awareness campaigns are conducted through various employee channels such as the intranet, mailers, and WhatsApp campaigns. These initiatives aim to empower employees with knowledge and resources to uphold our shared values of integrity, respect, and accountability in the workplace.",Employee Grievance Redressal Policy,Policy,employees,Head of Human Resources,"Provides a transparent platform for employees to address concerns falling within the scope of welfare policies including Human Rights, Diversity and Inclusion, Equal Opportunity, and Workplace Health and Safety; ensures prompt resolution",grievance.sec@iifl.com or letter to the Head of Human Resources,"Employee Grievance Redressal Policy, Human Rights Policy, Diversity and Inclusion Policy, Equal Opportunity Policy, Workplace Health and Safety Policy","Robust, Active, Transparent, Effective"
197,197,98,"We have a robust Employee Grievance Redressal Policy, providing a transparent platform for employees to address concerns falling within the scope of our welfare policies. These include our Human Rights Policy, Diversity and Inclusion Policy, Equal Opportunity Policy, and Workplace Health and Safety Policy. Employees can easily raise grievances by either emailing at grievance.sec@iifl.com or addressing a letter to the Head of Human Resources for prompt resolution.

In line with our commitment to fostering a safe and respectful workplace, the Company maintains a zero-tolerance policy towards harassment and discrimination. Our Policy for Prevention of Sexual Harassment at Workplace, aligned with the Sexual Harassment of Women at Workplace Act, 2013, aims to provide protection and redressal for complaints of sexual harassment. Employees can report grievances related to sexual harassment by emailing at posh.sec@iifl.com, with an Internal Complaints Committee dedicated to investigation and resolution.

Furthermore, our Whistleblower Policy serves as a vigilant mechanism for stakeholders, including individual employees, to report unethical or unlawful practices. Employees are encouraged to communicate concerns regarding illegal or unethical behavior by emailing at iiflsecwhistleblower@iifl.com. In exceptional cases, direct access to the Chairman of the Audit Committee is provided to ensure the integrity of the reporting process.

To ensure widespread awareness and understanding of our policies, regular communication and awareness campaigns are conducted through various employee channels such as the intranet, mailers, and WhatsApp campaigns. These initiatives aim to empower employees with knowledge and resources to uphold our shared values of integrity, respect, and accountability in the workplace.",Policy for Prevention of Sexual Harassment at Workplace,Policy,employees,Company,Maintains a zero-tolerance policy towards harassment and discrimination; provides protection and redressal for complaints of sexual harassment,posh.sec@iifl,"Policy for Prevention of Sexual Harassment at Workplace, Sexual Harassment of Women at Workplace Act, 2013","Active, Zero-tolerance"
198,198,98,"We have a robust Employee Grievance Redressal Policy, providing a transparent platform for employees to address concerns falling within the scope of our welfare policies. These include our Human Rights Policy, Diversity and Inclusion Policy, Equal Opportunity Policy, and Workplace Health and Safety Policy. Employees can easily raise grievances by either emailing at grievance.sec@iifl.com or addressing a letter to the Head of Human Resources for prompt resolution.

In line with our commitment to fostering a safe and respectful workplace, the Company maintains a zero-tolerance policy towards harassment and discrimination. Our Policy for Prevention of Sexual Harassment at Workplace, aligned with the Sexual Harassment of Women at Workplace Act, 2013, aims to provide protection and redressal for complaints of sexual harassment. Employees can report grievances related to sexual harassment by emailing at posh.sec@iifl.com, with an Internal Complaints Committee dedicated to investigation and resolution.

Furthermore, our Whistleblower Policy serves as a vigilant mechanism for stakeholders, including individual employees, to report unethical or unlawful practices. Employees are encouraged to communicate concerns regarding illegal or unethical behavior by emailing at iiflsecwhistleblower@iifl.com. In exceptional cases, direct access to the Chairman of the Audit Committee is provided to ensure the integrity of the reporting process.

To ensure widespread awareness and understanding of our policies, regular communication and awareness campaigns are conducted through various employee channels such as the intranet, mailers, and WhatsApp campaigns. These initiatives aim to empower employees with knowledge and resources to uphold our shared values of integrity, respect, and accountability in the workplace.",Internal Complaints Committee,Committee,employees,Internal Complaints Committee,Investigation and resolution of complaints,com,Internal Complaints Committee,Active
199,199,98,"We have a robust Employee Grievance Redressal Policy, providing a transparent platform for employees to address concerns falling within the scope of our welfare policies. These include our Human Rights Policy, Diversity and Inclusion Policy, Equal Opportunity Policy, and Workplace Health and Safety Policy. Employees can easily raise grievances by either emailing at grievance.sec@iifl.com or addressing a letter to the Head of Human Resources for prompt resolution.

In line with our commitment to fostering a safe and respectful workplace, the Company maintains a zero-tolerance policy towards harassment and discrimination. Our Policy for Prevention of Sexual Harassment at Workplace, aligned with the Sexual Harassment of Women at Workplace Act, 2013, aims to provide protection and redressal for complaints of sexual harassment. Employees can report grievances related to sexual harassment by emailing at posh.sec@iifl.com, with an Internal Complaints Committee dedicated to investigation and resolution.

Furthermore, our Whistleblower Policy serves as a vigilant mechanism for stakeholders, including individual employees, to report unethical or unlawful practices. Employees are encouraged to communicate concerns regarding illegal or unethical behavior by emailing at iiflsecwhistleblower@iifl.com. In exceptional cases, direct access to the Chairman of the Audit Committee is provided to ensure the integrity of the reporting process.

To ensure widespread awareness and understanding of our policies, regular communication and awareness campaigns are conducted through various employee channels such as the intranet, mailers, and WhatsApp campaigns. These initiatives aim to empower employees with knowledge and resources to uphold our shared values of integrity, respect, and accountability in the workplace.",Whistleblower Policy,Whistleblower,"stakeholders, individual employees","Company, Chairman of the Audit Committee","Report unethical or unlawful practices, provides direct access to Chairman of Audit Committee in exceptional cases",iiflsecwhistleblower@iifl.com,Whistleblower Policy,"Vigilant, active"
200,200,99,"The Company has Board-approved policies in place, namely a grievance redressal policy and a policy on the prevention of sexual harassment, among others, for handling various stakeholder grievances.",Grievance redressal policy and a policy on the prevention of sexual harassment,Policy,all stakeholders,Company,Handling various stakeholder grievances,,"grievance redressal policy, policy on the prevention of sexual harassment",Active
0,0,0,"The Bank extends many avenues to its employees to raise any grievances including human rights. The integrated Human Resource Management System (HRMS) platform is available for employees to access the entire Employee Life Cycle Management on their own devices and at their own disposal which enables employees to get their grievances redressed. In a nutshell, with the grievance redressal mechanism incorporated into the HRMS, the employees have a one-stop solution for any queries or complaints.",Integrated Human Resource Management System (HRMS) platform for grievance redressal,Other,employees,The Bank,"Enables employees to get their grievances redressed, provides a one-stop solution for queries or complaints, allows access to Employee Life Cycle Management",HRMS platform,Employee Life Cycle Management,"Active, Effective"
1,1,1,"The Company upholds the principles of being an organization that respects human rights, is non-discriminatory amongst employees and provides for a redressal mechanism to the key constituents that it deals with. The Company’s Code of Conduct respects and promotes human rights. The Company complies and adheres to all the human rights laws and guidelines of the Constitution of India, national laws and policies and treats all its stakeholders and customers with dignity, respect and due understanding.",Redressal mechanism and Code of Conduct for human rights,Policy,all stakeholders,The Company,"Upholds human rights principles, ensures non-discrimination, respects and promotes human rights, complies with laws and guidelines, treats stakeholders and customers with dignity and respect, provides a redressal mechanism.",,Company's Code of Conduct,Active
2,2,2,Grievance Redressal Mechanism is in place for the employees of SBI Card. The established policy for ensuring redressal of complaints is made available to all our employees on intranet.,Grievance Redressal Mechanism for the employees of SBI Card,Policy,employees,SBI Card,Ensures redressal of complaints,Intranet,Established policy for ensuring redressal of complaints,Active
3,3,3,"The company has formulated and adopted Vigil Mechanism/Whistle Blower Policy for its directors and employees. The aim of the policy is to provide a channel to the directors and employees to report their genuine concerns about unethical behavior, actual or suspected fraud or violation of the code of conduct. Reporting avenues have been provided for stakeholders to raise concerns or make disclosures when they become aware of any actual or potential violation of the Company Code, policies or law. Representations made in the reporting avenues are reviewed and appropriate action is taken on substantiated violations.",Vigil Mechanism/Whistle Blower Policy and associated reporting avenues,Whistleblower,"directors, employees, stakeholders",Company,"Provides a channel to report genuine concerns about unethical behavior, actual or suspected fraud, or violation of the code of conduct, company code, policies, or law. Representations are reviewed and appropriate action is taken on substantiated violations.",Reporting avenues provided,"Vigil Mechanism/Whistle Blower Policy, Company Code","Active, Effective"
4,4,4,"Human rights are seen as essential and basic principles, and the Company takes great pride in defending and preserving them. In addition to promoting and defending human rights, we work to make sure that all business and employment operations are carried out fairly and morally. We routinely assess the status of the resolution of grievances or complaints from our staff, vendors, or clients in order to uphold accountability and openness. In order to properly address matters pertaining to human rights, we have established committees and policies. Any kind of abuse—verbal, psychological, sexual, or physical—is not tolerated by the company.",Committees and policies to address human rights matters and grievances,"Committee, Policy","staff, vendors, clients",Company,"Routinely assesses the status of resolution of grievances or complaints, properly addresses matters pertaining to human rights, does not tolerate abuse (verbal, psychological, sexual, or physical)",,,Active
5,5,5,"The company has a well
defined grievance redressal mechanism in place for its employees, where they can report their concerns and seek redressal
for the same.
The company has also laid down the principles of equal opportunities, anti-corruption, anti-bribery, fair & transparent employment
practices, prohibition of child & forced labour, safe & healthy work environment, tobacco, alcohol & drug free workplace among
others.",well defined grievance redressal mechanism,Other,employees,Company,Employees can report concerns and seek redressal,,,Active
6,6,6,"Employees may register the grievance through call/ mail/HR 360 website/mobile application / Letter. The HR department will scrutinize the issue/concerns and after clarification from the complainant (if any), draft the note and put it forward before the designated person of the concerned department. The designated person of the concerned department will reply within 7 working days after receiving the note. HR Department will forward the reply to the complainant and explain the outcome of the grievance registered. The CEO of the company is always available in person to understand the concerns and grievances of employees.",Employee grievance redressal mechanism,Other,employees,"HR department, designated person of the concerned department, CEO","Employees can register grievances via call/mail/HR 360 website/mobile application/letter. HR scrutinizes issues, seeks clarification, drafts notes, and forwards to the designated person. The designated person replies within 7 working days. HR forwards the reply and explains the outcome. CEO is available in person for concerns.",call/mail/HR 360 website/mobile application/Letter,,"Active, ongoing"
7,7,7,"Ethics is one of the Core Values of the Bank and the Bank upholds fairness in all acts, words and deeds to all its stakeholders. 
The Bank has zero tolerance towards and prohibits all forms of slavery, coerced labour, child labour, human trafficking, violence or physical, sexual, psychological or verbal abuse. Bank ensures compliance with various statutory requirements such as payment of minimum wages and the Sexual Harassment at Workplace (Prevention, Prohibition and Redressal) 
Act, 2013.Bank has a grievance handling mechanism in the name of Federal Bank Employee’s Grievance Redressal Forum. Employees, irrespective of their cadre can submit their grievances related to employment and difficulties experienced at workplaces directly to this Forum. An external expert is also nominated as a member of the Forum, to ensure independent views on the grievance.
 Bank has in place a Policy for prevention of Sexual Harassment at the Workplace in line with the requirements of the Sexual Harassment of Women at the Workplace (Prevention, Prohibition & Redressal) Act, 2013. Internal Committee (IC) been set up at all the nine zones and Head Office to redress complaints received regarding sexual harassment. The Bank is committed to ensure that sexual harassment instances and incidents can be reported without fear. Such instances/and or complaints are promptly, and discreetly addressed and appropriate action is initiated",Federal Bank Employee’s Grievance Redressal Forum,Committee,employees,Federal Bank Employee’s Grievance Redressal Forum,Employees can submit grievances related to employment and workplace difficulties; ensures independent views on grievances with an external expert,Submit grievances directly to this Forum,"Sexual Harassment at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (compliance mentioned)",Active
8,8,7,"Ethics is one of the Core Values of the Bank and the Bank upholds fairness in all acts, words and deeds to all its stakeholders. 
The Bank has zero tolerance towards and prohibits all forms of slavery, coerced labour, child labour, human trafficking, violence or physical, sexual, psychological or verbal abuse. Bank ensures compliance with various statutory requirements such as payment of minimum wages and the Sexual Harassment at Workplace (Prevention, Prohibition and Redressal) 
Act, 2013.Bank has a grievance handling mechanism in the name of Federal Bank Employee’s Grievance Redressal Forum. Employees, irrespective of their cadre can submit their grievances related to employment and difficulties experienced at workplaces directly to this Forum. An external expert is also nominated as a member of the Forum, to ensure independent views on the grievance.
 Bank has in place a Policy for prevention of Sexual Harassment at the Workplace in line with the requirements of the Sexual Harassment of Women at the Workplace (Prevention, Prohibition & Redressal) Act, 2013. Internal Committee (IC) been set up at all the nine zones and Head Office to redress complaints received regarding sexual harassment. The Bank is committed to ensure that sexual harassment instances and incidents can be reported without fear. Such instances/and or complaints are promptly, and discreetly addressed and appropriate action is initiated",Policy for prevention of Sexual Harassment at the Workplace and Internal Committee (IC),"Policy, Committee",employees,Internal Committee (IC),"Redresses complaints of sexual harassment, ensures reporting without fear, promptly and discreetly addresses complaints, initiates appropriate action",,"Policy for prevention of Sexual Harassment at the Workplace, Sexual Harassment of Women at the Workplace (Prevention, Prohibition & Redressal) Act, 2013","Active, effective"
9,9,8,"Westlife follows a two-step approach to addressing human rights grievances to ensure swift and appropriate resolution.

Initially, individuals are encouraged to raise their concerns with the HR team, which is equipped to handle such matters effectively and in accordance with established protocols.
However, should the grievance remain unresolved at the HR level, it will be escalated to the leadership team and the board to review the grievance, assess any actions taken so far, and determine a course of action to achieve a satisfactory resolution in alignment with the company''s values and commitment to human rights.",Two-step approach to addressing human rights grievances,Other,employees,"HR team, leadership team and the board","Initially, HR team handles concerns; if unresolved, escalates to leadership team and board to review, assess actions, and determine a course of action for satisfactory resolution",HR team,company's values and commitment to human rights,Active
10,10,9,"Yes. The Company has instituted “Employee grievance” portal (EGB) on the Company’s intranet for employees to record and register their grievance. The EGB serves as the repository of all relevant information pertaining to each grievance and for the purpose of monitoring and tracking of all grievances for timely resolution. Employees may also write their grievance over email to imentor@icicisecurities.com or raise their grievance through their line hierarchy or Human Resources. Anonymous grievances are also recorded in the EGB portal and are investigated appropriately. On receipt of the grievance, the Employee Relations team examines the nature and type of the grievance, investigates and provides appropriate resolutions on the same.
For grievances pertaining to sexual harassment, the Internal Committee (IC) is constituted in line with the provisions of The Sexual Harassment of Women at Workplace (Prevention, Prohibition & Redressal) Act, 2013 to investigate the case. The EGB also records, addresses and resolves any customer-related grievance.
Our Operational Risk Management Group (ORMG) is responsible for identifying, investigating, evaluating and deciding on the resolution of process violation/ complaints. The ORMG team operates as an independent central governance unit to ensure that the resolution for each and every complaints/process violation is done in a fair and impartial manner.
The Company has appropriate forums to address all forms of grievances, complaints, conflicts and process violations. Details of the same are available on Intranet of the Company for employees.",Employee grievance portal (EGB) on the Company’s intranet,Other,employees,Employee Relations team,"Records and registers grievances, serves as a repository for information, monitors and tracks grievances for timely resolution, investigates anonymous grievances, examines, investigates, and provides appropriate resolutions",EGB portal on Company's intranet,Employee grievance portal,"Instituted, active, effective"
11,11,9,"Yes. The Company has instituted “Employee grievance” portal (EGB) on the Company’s intranet for employees to record and register their grievance. The EGB serves as the repository of all relevant information pertaining to each grievance and for the purpose of monitoring and tracking of all grievances for timely resolution. Employees may also write their grievance over email to imentor@icicisecurities.com or raise their grievance through their line hierarchy or Human Resources. Anonymous grievances are also recorded in the EGB portal and are investigated appropriately. On receipt of the grievance, the Employee Relations team examines the nature and type of the grievance, investigates and provides appropriate resolutions on the same.
For grievances pertaining to sexual harassment, the Internal Committee (IC) is constituted in line with the provisions of The Sexual Harassment of Women at Workplace (Prevention, Prohibition & Redressal) Act, 2013 to investigate the case. The EGB also records, addresses and resolves any customer-related grievance.
Our Operational Risk Management Group (ORMG) is responsible for identifying, investigating, evaluating and deciding on the resolution of process violation/ complaints. The ORMG team operates as an independent central governance unit to ensure that the resolution for each and every complaints/process violation is done in a fair and impartial manner.
The Company has appropriate forums to address all forms of grievances, complaints, conflicts and process violations. Details of the same are available on Intranet of the Company for employees.",Email channel for grievances,Other,employees,Employee Relations team,"Allows employees to write grievances, examines, investigates, and provides appropriate resolutions",imentor@icicisecurities.com,Employee grievance process,Active
12,12,9,"Yes. The Company has instituted “Employee grievance” portal (EGB) on the Company’s intranet for employees to record and register their grievance. The EGB serves as the repository of all relevant information pertaining to each grievance and for the purpose of monitoring and tracking of all grievances for timely resolution. Employees may also write their grievance over email to imentor@icicisecurities.com or raise their grievance through their line hierarchy or Human Resources. Anonymous grievances are also recorded in the EGB portal and are investigated appropriately. On receipt of the grievance, the Employee Relations team examines the nature and type of the grievance, investigates and provides appropriate resolutions on the same.
For grievances pertaining to sexual harassment, the Internal Committee (IC) is constituted in line with the provisions of The Sexual Harassment of Women at Workplace (Prevention, Prohibition & Redressal) Act, 2013 to investigate the case. The EGB also records, addresses and resolves any customer-related grievance.
Our Operational Risk Management Group (ORMG) is responsible for identifying, investigating, evaluating and deciding on the resolution of process violation/ complaints. The ORMG team operates as an independent central governance unit to ensure that the resolution for each and every complaints/process violation is done in a fair and impartial manner.
The Company has appropriate forums to address all forms of grievances, complaints, conflicts and process violations. Details of the same are available on Intranet of the Company for employees.",Grievance reporting through line hierarchy or Human Resources,Open-Door,employees,"Line hierarchy, Human Resources, Employee Relations team","Allows employees to raise grievances, examines, investigates, and provides appropriate resolutions","Line hierarchy, Human Resources",Employee grievance process,Active
