,doc_index,original_text,extraction_text,theme,goal,metric,timeline,objective_type
234,82,"1	We are dedicated to implement comprehensive strategy to progressively reduce our reliance on grid electricity and increase the integration of renewable energy sources throughout the operations.	•Implementing energy-efficient technologies and equipment to optimize electricity usage. 
• Set an annual target to reduce grid electricity by 10% by 2030. 
• Monitor and track progress regularly. Conducting quarterly assessments to evaluate the effectiveness of implemented measures and adjust strategies accordingly.
2	We are fully committed to implementing a comprehensive support framework that focusses on the development and growth of our farmers. Through assessments, evaluations, engagement, collaboration and training, we aim to drive positive change and uplift the livelihood of farmers.	•	To improve the information system to the farmers for taking timely action depending in international market demand & supply situations. 
•	Upgrade the skill of the farmer to conduct 350+ training programmes on the Best Practices in Aquaculture Sector. 
•	Increase of training programs with the Industry Experts.
•	Adapting the Cost effectives methods followed by farmers in other regions These programs will focus on enhancing their productivity levels and reducing losses in their operations.",Adapting the Cost effectives methods followed by farmers in other regions These programs will focus on enhancing their productivity levels and reducing losses in their operations.,CSR,Adapt cost-effective methods to enhance productivity and reduce losses for farmers,null,ongoing,
235,83,"At NMDC, we prioritize technology and innovation in our mining processes to ensure eco-friendliness. These advancements play a crucial role in achieving our Environmental, Social, and Governance (ESG) objectives. Our specific targets include: 

Increasing Renewable Energy Share: We are actively working to raise our utilization of renewable energy to 25%. 

Zero Harm to Life: The safety and well-being of our workforce remain our top priority. 

Human Rights Audits: Rigorous audits at project sites uphold human rights standards. 

Organizational Structure: Clearly defined roles and responsibilities for ESG management are integrated throughout our organization. 

Additionally, NMDC is making significant progress toward its Net Zero strategy, aligning with global sustainability efforts.",Increasing Renewable Energy Share: We are actively working to raise our utilization of renewable energy to 25%.,Climate,Raise utilization of renewable energy,25%,null,Quantitative
236,83,"At NMDC, we prioritize technology and innovation in our mining processes to ensure eco-friendliness. These advancements play a crucial role in achieving our Environmental, Social, and Governance (ESG) objectives. Our specific targets include: 

Increasing Renewable Energy Share: We are actively working to raise our utilization of renewable energy to 25%. 

Zero Harm to Life: The safety and well-being of our workforce remain our top priority. 

Human Rights Audits: Rigorous audits at project sites uphold human rights standards. 

Organizational Structure: Clearly defined roles and responsibilities for ESG management are integrated throughout our organization. 

Additionally, NMDC is making significant progress toward its Net Zero strategy, aligning with global sustainability efforts.",Zero Harm to Life: The safety and well-being of our workforce remain our top priority.,Health & Safety,Achieve zero harm to life and ensure safety and well-being of workforce,Zero harm,ongoing,Qualitative
237,83,"At NMDC, we prioritize technology and innovation in our mining processes to ensure eco-friendliness. These advancements play a crucial role in achieving our Environmental, Social, and Governance (ESG) objectives. Our specific targets include: 

Increasing Renewable Energy Share: We are actively working to raise our utilization of renewable energy to 25%. 

Zero Harm to Life: The safety and well-being of our workforce remain our top priority. 

Human Rights Audits: Rigorous audits at project sites uphold human rights standards. 

Organizational Structure: Clearly defined roles and responsibilities for ESG management are integrated throughout our organization. 

Additionally, NMDC is making significant progress toward its Net Zero strategy, aligning with global sustainability efforts.",Human Rights Audits: Rigorous audits at project sites uphold human rights standards.,Governance,Uphold human rights standards through rigorous audits,null,ongoing,Qualitative
238,83,"At NMDC, we prioritize technology and innovation in our mining processes to ensure eco-friendliness. These advancements play a crucial role in achieving our Environmental, Social, and Governance (ESG) objectives. Our specific targets include: 

Increasing Renewable Energy Share: We are actively working to raise our utilization of renewable energy to 25%. 

Zero Harm to Life: The safety and well-being of our workforce remain our top priority. 

Human Rights Audits: Rigorous audits at project sites uphold human rights standards. 

Organizational Structure: Clearly defined roles and responsibilities for ESG management are integrated throughout our organization. 

Additionally, NMDC is making significant progress toward its Net Zero strategy, aligning with global sustainability efforts.",Organizational Structure: Clearly defined roles and responsibilities for ESG management are integrated throughout our organization.,Governance,Integrate clearly defined roles and responsibilities for ESG management,null,ongoing,Qualitative
239,83,"At NMDC, we prioritize technology and innovation in our mining processes to ensure eco-friendliness. These advancements play a crucial role in achieving our Environmental, Social, and Governance (ESG) objectives. Our specific targets include: 

Increasing Renewable Energy Share: We are actively working to raise our utilization of renewable energy to 25%. 

Zero Harm to Life: The safety and well-being of our workforce remain our top priority. 

Human Rights Audits: Rigorous audits at project sites uphold human rights standards. 

Organizational Structure: Clearly defined roles and responsibilities for ESG management are integrated throughout our organization. 

Additionally, NMDC is making significant progress toward its Net Zero strategy, aligning with global sustainability efforts.","NMDC is making significant progress toward its Net Zero strategy, aligning with global sustainability efforts.",Climate,Progress toward Net Zero strategy,Net Zero,null,Qualitative
240,86,"The Company’s commitment to contribute to sustainable development is
well aligned with Adani Group’s purpose of Nation Building that provides
a guiding framework for investment in businesses that accelerate India’s
economic growth and enhance citizen wellbeing. AGEL had worked to
embed this sustainability commitment into our strategy, our business
processes and decision-making.
Some of our key ESG goals and ambitions include.
a) 50 GW renewable energy capacity by 2030
b) Net Water neutral certified company by FY26
c) Zero-Waste-to-Landfill (ZWL) Certified Company for 100% of
operating renewable energy generation plants by FY 2024-25
d) Conduct business with no net loss to biodiversity and 100% alignment
with India Business Biodiversity Initiative (IBBI) by 2025
e) Single-use-Plastic-Free (SuPF) Certified Company for 100% of
operating renewable energy generation plants by FY 2023-24
f) To be in the top 10 companies globally for ESG benchmarking in the
electric utility sector.",50 GW renewable energy capacity by 2030,Climate,Increase renewable energy capacity,50 GW,2030,
241,86,"The Company’s commitment to contribute to sustainable development is
well aligned with Adani Group’s purpose of Nation Building that provides
a guiding framework for investment in businesses that accelerate India’s
economic growth and enhance citizen wellbeing. AGEL had worked to
embed this sustainability commitment into our strategy, our business
processes and decision-making.
Some of our key ESG goals and ambitions include.
a) 50 GW renewable energy capacity by 2030
b) Net Water neutral certified company by FY26
c) Zero-Waste-to-Landfill (ZWL) Certified Company for 100% of
operating renewable energy generation plants by FY 2024-25
d) Conduct business with no net loss to biodiversity and 100% alignment
with India Business Biodiversity Initiative (IBBI) by 2025
e) Single-use-Plastic-Free (SuPF) Certified Company for 100% of
operating renewable energy generation plants by FY 2023-24
f) To be in the top 10 companies globally for ESG benchmarking in the
electric utility sector.",Net Water neutral certified company by FY26,Climate,Achieve net water neutrality,Net Water neutral certified,FY26,
242,86,"The Company’s commitment to contribute to sustainable development is
well aligned with Adani Group’s purpose of Nation Building that provides
a guiding framework for investment in businesses that accelerate India’s
economic growth and enhance citizen wellbeing. AGEL had worked to
embed this sustainability commitment into our strategy, our business
processes and decision-making.
Some of our key ESG goals and ambitions include.
a) 50 GW renewable energy capacity by 2030
b) Net Water neutral certified company by FY26
c) Zero-Waste-to-Landfill (ZWL) Certified Company for 100% of
operating renewable energy generation plants by FY 2024-25
d) Conduct business with no net loss to biodiversity and 100% alignment
with India Business Biodiversity Initiative (IBBI) by 2025
e) Single-use-Plastic-Free (SuPF) Certified Company for 100% of
operating renewable energy generation plants by FY 2023-24
f) To be in the top 10 companies globally for ESG benchmarking in the
electric utility sector.",Zero-Waste-to-Landfill (ZWL) Certified Company for 100% of operating renewable energy generation plants by FY 2024-25,Climate,Achieve Zero-Waste-to-Landfill certification for plants,"100% of operating renewable energy generation plants, ZWL Certified",FY 2024-25,
243,86,"The Company’s commitment to contribute to sustainable development is
well aligned with Adani Group’s purpose of Nation Building that provides
a guiding framework for investment in businesses that accelerate India’s
economic growth and enhance citizen wellbeing. AGEL had worked to
embed this sustainability commitment into our strategy, our business
processes and decision-making.
Some of our key ESG goals and ambitions include.
a) 50 GW renewable energy capacity by 2030
b) Net Water neutral certified company by FY26
c) Zero-Waste-to-Landfill (ZWL) Certified Company for 100% of
operating renewable energy generation plants by FY 2024-25
d) Conduct business with no net loss to biodiversity and 100% alignment
with India Business Biodiversity Initiative (IBBI) by 2025
e) Single-use-Plastic-Free (SuPF) Certified Company for 100% of
operating renewable energy generation plants by FY 2023-24
f) To be in the top 10 companies globally for ESG benchmarking in the
electric utility sector.",Conduct business with no net loss to biodiversity and 100% alignment with India Business Biodiversity Initiative (IBBI) by 2025,Biodiversity,No net loss to biodiversity and alignment with IBBI,"No net loss, 100% alignment",2025,
244,86,"The Company’s commitment to contribute to sustainable development is
well aligned with Adani Group’s purpose of Nation Building that provides
a guiding framework for investment in businesses that accelerate India’s
economic growth and enhance citizen wellbeing. AGEL had worked to
embed this sustainability commitment into our strategy, our business
processes and decision-making.
Some of our key ESG goals and ambitions include.
a) 50 GW renewable energy capacity by 2030
b) Net Water neutral certified company by FY26
c) Zero-Waste-to-Landfill (ZWL) Certified Company for 100% of
operating renewable energy generation plants by FY 2024-25
d) Conduct business with no net loss to biodiversity and 100% alignment
with India Business Biodiversity Initiative (IBBI) by 2025
e) Single-use-Plastic-Free (SuPF) Certified Company for 100% of
operating renewable energy generation plants by FY 2023-24
f) To be in the top 10 companies globally for ESG benchmarking in the
electric utility sector.",Single-use-Plastic-Free (SuPF) Certified Company for 100% of operating renewable energy generation plants by FY 2023-24,Climate,Achieve Single-use-Plastic-Free certification for plants,"100% of operating renewable energy generation plants, SuPF Certified",FY 2023-24,
245,86,"The Company’s commitment to contribute to sustainable development is
well aligned with Adani Group’s purpose of Nation Building that provides
a guiding framework for investment in businesses that accelerate India’s
economic growth and enhance citizen wellbeing. AGEL had worked to
embed this sustainability commitment into our strategy, our business
processes and decision-making.
Some of our key ESG goals and ambitions include.
a) 50 GW renewable energy capacity by 2030
b) Net Water neutral certified company by FY26
c) Zero-Waste-to-Landfill (ZWL) Certified Company for 100% of
operating renewable energy generation plants by FY 2024-25
d) Conduct business with no net loss to biodiversity and 100% alignment
with India Business Biodiversity Initiative (IBBI) by 2025
e) Single-use-Plastic-Free (SuPF) Certified Company for 100% of
operating renewable energy generation plants by FY 2023-24
f) To be in the top 10 companies globally for ESG benchmarking in the
electric utility sector.",To be in the top 10 companies globally for ESG benchmarking in the electric utility sector.,Governance,Top 10 ESG benchmark globally in electric utility sector,Top 10 ranking,ongoing,
246,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Incremental installation of 3000 MW Hydropower projects by 2030,Climate,Incremental installation of Hydropower projects,3000 MW,2030,
247,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Installation of 1200 MW capacity in other renewable energy generation projects by 2030.,Climate,Installation of other renewable energy generation projects,1200 MW,2030,
248,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.","Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape",Climate,Improve energy efficiency and minimize greenhouse gas emissions,null,ongoing,
249,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.,Biodiversity,Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability,null,ongoing,
250,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.,Biodiversity,Conserve the ecosystem through Integrated Sustainable Waste Management,null,ongoing,
251,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Implement effective water-saving measures to achieve water conservation.,Biodiversity,Implement effective water-saving measures to achieve water conservation,null,ongoing,
252,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Demonstrate unwavering dedication in preserving and enhancing the natural environment.,Biodiversity,Preserving and enhancing the natural environment,null,ongoing,
253,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing responsible supply chain management practices.,Supply Chain,Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing responsible supply chain management practices,null,ongoing,
254,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.,Health & Safety,Maintain a zero accident and zero fatality work environment,"zero accident, zero fatality",year-on-year basis,Quantitative
255,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.,CSR,Elevating the quality of life and building essential facilities/ opportunities for its communities,None,Ongoing,Qualitative
256,87,"Detail of Target:

1.Continued of investment in Renewable energy generation
•	Incremental installation of 3000 MW Hydropower projects by 2030
•	Installation of 1200 MW capacity in other renewable energy generation projects by 2030.  

2.Improve energy efficiency, and minimize greenhouse gas emissions through dedicated initiatives and fostering sustainable energy landscape

3.Ensure environmental flow from all its operational sites to maintain ecological health and achieve socio-economic and cultural sustainability.

4.Conserve the ecosystem through Integrated Sustainable Waste Management (ISWM) and contributing to a responsible future.

5. Implement effective water-saving measures to achieve water conservation.

6.Demonstrate unwavering dedication in preserving and enhancing the natural environment.

7. Encourage a shared objective of sustainability with the upstream value chain by collectively nurturing
responsible supply chain management practices.

8. Maintain a “zero accident” and “zero fatality” work environment on a year-on-year basis.

9.Maintain its pro-active thrust as socially conscious company on elevating the quality of life and building essential facilities/ opportunities for its communities.

10. Ensure a zero tolerance for corruption and unethical practices.",Ensure a zero tolerance for corruption and unethical practices.,Governance,Zero tolerance for corruption and unethical practices,Zero tolerance,Ongoing,Qualitative
257,88,"1. Reducing electricity consumption from the grid: The company aims to reduce its reliance on grid electricity by a three percentage (3 %) on a year-on-year basis.This reduction could be achieved through various means such as implementing energy-efficient technologies, optimizing energy usage, and exploring renewable energy sources. Additionally, the company wishes to transition towards consuming electricity from renewable sources, further emphasizing its commitment to sustainable practices.

2. Enhancing Product Environmental and Social Impacts through Increased Capex and R&D Investments: The company plans to increase its capital expenditure (Capex) and research and development (R&D) investments in specific technologies aimed at enhancing the environmental and social impacts of its products. The objective is to achieve a minimum improvement of three percentage (3%) in these impacts for the year 2025. By prioritizing these investments, the company aims to drive innovation and develop solutions that contribute to sustainability and positively benefit the environment and society.

3. Strengthening the training division and educating employees: The company plans to enhance its training division to educate all employees and workers on issues related to Environmental, Social, and Governance (E, S & G) practices. By March 2025, all employees will receive training on the actions and initiatives undertaken by the organization to address these issues effectively.

4. Sustainable Sourcing and assessment of Suppliers: The company is actively planning to ensure sustainable sourcing and responsible supplier management through ongoing monitoring and assessment. By implementing a robust assessment framework, conducting regular evaluations, and analysing supplier data, the
company aims to identify areas for improvement and drive positive change.","Reducing electricity consumption from the grid: The company aims to reduce its reliance on grid electricity by a three percentage (3 %) on a year-on-year basis.This reduction could be achieved through various means such as implementing energy-efficient technologies, optimizing energy usage, and exploring renewable energy sources. Additionally, the company wishes to transition towards consuming electricity from renewable sources, further emphasizing its commitment to sustainable practices.",Climate,Reduce reliance on grid electricity and transition towards consuming electricity from renewable sources,3% reduction on a year-on-year basis,Year-on-year,Quantitative
258,88,"1. Reducing electricity consumption from the grid: The company aims to reduce its reliance on grid electricity by a three percentage (3 %) on a year-on-year basis.This reduction could be achieved through various means such as implementing energy-efficient technologies, optimizing energy usage, and exploring renewable energy sources. Additionally, the company wishes to transition towards consuming electricity from renewable sources, further emphasizing its commitment to sustainable practices.

2. Enhancing Product Environmental and Social Impacts through Increased Capex and R&D Investments: The company plans to increase its capital expenditure (Capex) and research and development (R&D) investments in specific technologies aimed at enhancing the environmental and social impacts of its products. The objective is to achieve a minimum improvement of three percentage (3%) in these impacts for the year 2025. By prioritizing these investments, the company aims to drive innovation and develop solutions that contribute to sustainability and positively benefit the environment and society.

3. Strengthening the training division and educating employees: The company plans to enhance its training division to educate all employees and workers on issues related to Environmental, Social, and Governance (E, S & G) practices. By March 2025, all employees will receive training on the actions and initiatives undertaken by the organization to address these issues effectively.

4. Sustainable Sourcing and assessment of Suppliers: The company is actively planning to ensure sustainable sourcing and responsible supplier management through ongoing monitoring and assessment. By implementing a robust assessment framework, conducting regular evaluations, and analysing supplier data, the
company aims to identify areas for improvement and drive positive change.",Enhancing Product Environmental and Social Impacts through Increased Capex and R&D Investments: The company plans to increase its capital expenditure (Capex) and research and development (R&D) investments in specific technologies aimed at enhancing the environmental and social impacts of its products. The objective is to achieve a minimum improvement of three percentage (3%) in these impacts for the year 2025.,Other,Enhance product environmental and social impacts through increased Capex and R&D investments,Minimum improvement of 3% in impacts,2025,Quantitative
259,88,"1. Reducing electricity consumption from the grid: The company aims to reduce its reliance on grid electricity by a three percentage (3 %) on a year-on-year basis.This reduction could be achieved through various means such as implementing energy-efficient technologies, optimizing energy usage, and exploring renewable energy sources. Additionally, the company wishes to transition towards consuming electricity from renewable sources, further emphasizing its commitment to sustainable practices.

2. Enhancing Product Environmental and Social Impacts through Increased Capex and R&D Investments: The company plans to increase its capital expenditure (Capex) and research and development (R&D) investments in specific technologies aimed at enhancing the environmental and social impacts of its products. The objective is to achieve a minimum improvement of three percentage (3%) in these impacts for the year 2025. By prioritizing these investments, the company aims to drive innovation and develop solutions that contribute to sustainability and positively benefit the environment and society.

3. Strengthening the training division and educating employees: The company plans to enhance its training division to educate all employees and workers on issues related to Environmental, Social, and Governance (E, S & G) practices. By March 2025, all employees will receive training on the actions and initiatives undertaken by the organization to address these issues effectively.

4. Sustainable Sourcing and assessment of Suppliers: The company is actively planning to ensure sustainable sourcing and responsible supplier management through ongoing monitoring and assessment. By implementing a robust assessment framework, conducting regular evaluations, and analysing supplier data, the
company aims to identify areas for improvement and drive positive change.","By prioritizing these investments, the company aims to drive innovation and develop solutions that contribute to sustainability and positively benefit the environment and society.",CSR,Drive innovation and develop solutions that contribute to sustainability and positively benefit the environment and society,N/A,Ongoing,
260,88,"1. Reducing electricity consumption from the grid: The company aims to reduce its reliance on grid electricity by a three percentage (3 %) on a year-on-year basis.This reduction could be achieved through various means such as implementing energy-efficient technologies, optimizing energy usage, and exploring renewable energy sources. Additionally, the company wishes to transition towards consuming electricity from renewable sources, further emphasizing its commitment to sustainable practices.

2. Enhancing Product Environmental and Social Impacts through Increased Capex and R&D Investments: The company plans to increase its capital expenditure (Capex) and research and development (R&D) investments in specific technologies aimed at enhancing the environmental and social impacts of its products. The objective is to achieve a minimum improvement of three percentage (3%) in these impacts for the year 2025. By prioritizing these investments, the company aims to drive innovation and develop solutions that contribute to sustainability and positively benefit the environment and society.

3. Strengthening the training division and educating employees: The company plans to enhance its training division to educate all employees and workers on issues related to Environmental, Social, and Governance (E, S & G) practices. By March 2025, all employees will receive training on the actions and initiatives undertaken by the organization to address these issues effectively.

4. Sustainable Sourcing and assessment of Suppliers: The company is actively planning to ensure sustainable sourcing and responsible supplier management through ongoing monitoring and assessment. By implementing a robust assessment framework, conducting regular evaluations, and analysing supplier data, the
company aims to identify areas for improvement and drive positive change.","Strengthening the training division and educating employees: The company plans to enhance its training division to educate all employees and workers on issues related to Environmental, Social, and Governance (E, S & G) practices. By March 2025, all employees will receive training on the actions and initiatives undertaken by the organization to address these issues effectively.",Governance,"Educate all employees and workers on E, S & G practices",All employees will receive training,By March 2025,
